vidname,GT_crash_prompt,GT_nearcrash_prompt,GT_safe_prompt
001392,[0s: Dashcam shows normal driving in snowy weather during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001393,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001394,[0s: Dashcam shows normal driving in snowy weather during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001395,[0s: Dashcam shows normal driving in rainy weather during night] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during night] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001396,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001397,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001398,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001399,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001400,[0s: Dashcam shows normal driving during night] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during night] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001401,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001402,[0s: Dashcam shows normal driving during day] [5s: Crash begins involving other vehicles],"[0s: Normal driving during day] [5s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001403,[0s: Dashcam shows normal driving in snowy weather during night] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during night] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001404,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001405,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001406,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001407,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001408,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001409,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001410,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001411,[0s: Dashcam shows normal driving in snowy weather during night] [5s: Crash begins involving the dashcam car],"[0s: Normal driving in snowy weather during night] [5s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001412,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001413,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001414,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001415,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001416,[0s: Dashcam shows normal driving during day] [5s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [5s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001417,[0s: Dashcam shows normal driving in snowy weather during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001418,[0s: Dashcam shows normal driving in snowy weather during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001419,[0s: Dashcam shows normal driving during day] [5s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [5s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001420,[0s: Dashcam shows normal driving in rainy weather during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001421,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001422,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001423,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001424,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001425,[0s: Dashcam shows normal driving during day] [5s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [5s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001426,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001427,[0s: Dashcam shows normal driving in rainy weather during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001428,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001429,[0s: Dashcam shows normal driving in snowy weather during day] [5s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [5s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001430,[0s: Dashcam shows normal driving in rainy weather during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001431,[0s: Dashcam shows normal driving in snowy weather during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001432,[0s: Dashcam shows normal driving in rainy weather during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001433,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001434,[0s: Dashcam shows normal driving during night] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during night] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001435,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001436,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001437,[0s: Dashcam shows normal driving during night] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during night] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001438,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001439,[0s: Dashcam shows normal driving in snowy weather during night] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during night] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001440,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001441,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001442,[0s: Dashcam shows normal driving during day] [5s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [5s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001443,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001444,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001445,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001446,[0s: Dashcam shows normal driving in snowy weather during day] [5s: Crash begins involving the dashcam car],"[0s: Normal driving in snowy weather during day] [5s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001447,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001448,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001449,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001450,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001451,[0s: Dashcam shows normal driving in snowy weather during day] [5s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [5s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001452,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001453,[0s: Dashcam shows normal driving in rainy weather during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001454,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001455,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001456,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001457,[0s: Dashcam shows normal driving during day] [5s: Crash begins involving other vehicles],"[0s: Normal driving during day] [5s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001458,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001459,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001460,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001461,[0s: Dashcam shows normal driving during day] [5s: Crash occurs involving the dashcam car],"[0s: Normal driving during day] [5s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001462,[0s: Dashcam shows normal driving in snowy weather during day] [5s: Crash occurs involving other vehicles],"[0s: Normal driving in snowy weather during day] [5s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001463,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001464,[0s: Dashcam shows normal driving in snowy weather during night] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during night] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during night] [2s: Traffic flows normally] [5s: Journey continues safely]
001465,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001466,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001467,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001468,[0s: Dashcam shows normal driving during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001469,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001470,[0s: Dashcam shows normal driving in rainy weather during day] [4s: Crash begins involving the dashcam car] [5s: Crash impact concludes],"[0s: Normal driving in rainy weather during day] [4s: Near-crash event with the dashcam car, danger avoided]",[0s: Dashcam shows safe driving in rainy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001471,[0s: Dashcam shows normal driving during day] [3s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving during day] [3s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving during day] [2s: Traffic flows normally] [5s: Journey continues safely]
001472,[0s: Dashcam shows normal driving in snowy weather during day] [4s: Crash begins involving other vehicles] [5s: Crash impact concludes],"[0s: Normal driving in snowy weather during day] [4s: Near-crash event with other vehicles, danger avoided]",[0s: Dashcam shows safe driving in snowy weather during day] [2s: Traffic flows normally] [5s: Journey continues safely]
