Scenario_ID,Type,Description
001413,Near-Crash,"A tire on a large dump truck explodes, sending a huge cloud of dust and debris across the highway and forcing the cars behind it to swerve."
001413,Safe,"The dashcam car maintains a safe following distance as a dump truck drives ahead, while another car passes both vehicles in the left lane."
001414,Crash,"A large dump truck reverses without warning, crushing the front of the silver sedan stopped behind it at the construction site."
001414,Near-Crash,"A large truck begins to roll backward unexpectedly, forcing the driver of the silver sedan behind it to honk and swerve to avoid being hit."
001414,Safe,"A silver sedan stops safely behind a large truck in a single-lane construction zone, waiting for traffic to move."
001415,Crash,"A white truck pulls out from a side road directly into the path of the dashcam car, causing a violent T-bone collision on the wet highway."
001415,Near-Crash,"A white truck pulls out from a side road, forcing the dashcam car to swerve sharply to the left to narrowly avoid a T-bone collision on the wet highway."
001415,Safe,"The dashcam car reduces speed on a wet road, maintaining a safe distance from other vehicles during a light rain."
001416,Crash,A dark SUV attempts a reckless left turn across a busy highway and is T-boned by an oncoming car.
001416,Near-Crash,"A dark SUV makes a sudden, unsignaled left turn across multiple lanes of traffic, forcing oncoming cars to slam on their brakes to avoid a collision."
001416,Safe,A dark SUV signals and waits for a safe gap in traffic before making a left turn onto a busy highway.
001417,Crash,"A black car loses control while attempting a reckless overtake on the shoulder, swerving into traffic and causing a multi-car pileup."
001417,Near-Crash,"A black car makes an aggressive, high-speed pass on the right shoulder, narrowly avoiding a collision as it cuts back into traffic."
001417,Safe,"A silver sedan safely overtakes a white van on the highway, using its signal and leaving ample room."
001418,Crash,"A large truck carelessly changes lanes and sideswipes a white sedan, crushing it against another vehicle."
001418,Near-Crash,"A large truck drifts into the lane of a white sedan, forcing the sedan to brake hard and narrowly avoid being pinned against the adjacent car."
001418,Safe,A white sedan maintains its lane position as a large truck carefully merges into the adjacent lane in heavy traffic.
001419,Crash,"A semi-truck merges directly into the dashcam car, causing a violent sideswipe that sends the car spinning across the highway."
001419,Near-Crash,"A semi-truck merges into the dashcam car's lane without signaling, forcing the car to brake hard and swerve to narrowly avoid being sideswiped."
001419,Safe,The dashcam car maintains a safe following distance and speed while traveling on a multi-lane highway.
001420,Crash,"A dark sedan cuts off the dashcam car and then brake-checks it, causing a violent rear-end collision."
001420,Near-Crash,"A dark sedan makes a sudden, aggressive lane change without signaling, forcing the dashcam car to brake hard to avoid a rear-end collision."
001420,Safe,"The dashcam car drives cautiously, maintaining a safe following distance behind a dark sedan on a city street."
001421,Crash,A large truck speeds through a red light and is violently T-boned by a car entering the intersection on a green light.
001421,Near-Crash,The dashcam car slams on the brakes to narrowly avoid colliding with a large truck that runs a red light at the intersection.
001421,Safe,"A truck approaches an intersection with a red light and comes to a complete, controlled stop."
001422,Crash,"A dark minivan is violently rear-ended by a car that fails to stop in time on the snowy road, causing a multi-car pileup."
001422,Near-Crash,"A dark minivan brakes suddenly on a snowy road, forcing the following car to swerve onto the shoulder to narrowly avoid a rear-end collision."
001422,Safe,A dark minivan maintains a safe speed and following distance while driving on a snowy road during a light snowfall.
001423,Crash,"A white van recklessly drives onto a snowy sidewalk, loses traction, and slides into a utility pole."
001423,Near-Crash,"A white van swerves onto a snowy sidewalk to bypass traffic, nearly losing control as it hits a patch of ice."
001423,Safe,"A white van drives slowly down a slushy road, carefully navigating around patches of snow and ice."
001424,Crash,"A red hatchback hits a deep puddle at high speed, hydroplanes, and crashes into a parked car near a pedestrian with a stroller."
001424,Near-Crash,"A red car speeds through a large puddle, causing the driver to briefly hydroplane and nearly lose control next to pedestrians."
001424,Safe,A red car slows down to avoid splashing pedestrians and a stroller as it passes a large puddle on the side of the road.
001425,Crash,A silver car rams the red car behind it and the silver car in front of it multiple times while trying to force its way out of the parking spot.
001425,Near-Crash,"A silver car aggressively reverses and nearly hits the red car, then pulls forward and almost scrapes the car in front while exiting the tight spot."
001425,Safe,"A silver car is carefully parked in a tight parallel spot, leaving adequate room for the cars in front and behind."
001426,Crash,"A massive traffic light fixture suddenly snaps from its wires and plummets to the ground, crashing directly onto the hood of a passing car."
001426,Near-Crash,"A large traffic light fixture swings dangerously in the wind, nearly breaking free and falling as the dashcam car passes underneath."
001426,Safe,The dashcam car proceeds cautiously under an overpass as other cars drive normally in the opposite direction.
001427,Crash,A white van runs a red light at an intersection and is violently T-boned by the dashcam car.
001427,Near-Crash,"A white van runs a red light but brakes hard at the last second, narrowly avoiding a T-bone collision with the dashcam car."
001427,Safe,"A white van stops at the red light on a wet, cobblestone street, waiting for the signal to change before proceeding."
001428,Crash,A white delivery van speeds through a red light and is violently T-boned by the dashcam car in the middle of the intersection.
001428,Near-Crash,"A white delivery van runs a red light, forcing the dashcam car to slam on its brakes and swerve, narrowly avoiding a high-speed collision."
001428,Safe,"A white delivery van approaches a red light and comes to a safe, controlled stop behind the line."
001429,Crash,"A blue sedan loses control on a snowy street, sliding sideways directly into the path of the dashcam car for a head-on collision."
001429,Near-Crash,"A blue sedan loses traction and fishtails on the snowy road, but the driver corrects the skid and narrowly avoids spinning out."
001429,Safe,"A blue sedan drives cautiously on a snowy road, maintaining control and a steady speed."
001430,Crash,"A black sedan loses traction on a wet overpass, spinning 360 degrees before being slammed into by the dashcam car."
001430,Near-Crash,"A black sedan loses traction on a wet overpass and spins, but the driver regains control just in time to avoid hitting the wall or other cars."
001430,Safe,"A black sedan safely navigates a wet overpass, maintaining a steady speed and control of the vehicle."
001431,Crash,"A white classic car swerves to avoid hitting pedestrians, losing control and crashing into a parked car on the side of the road."
001431,Near-Crash,"A white classic car slams on its brakes and swerves, narrowly missing pedestrians who stepped into the road unexpectedly."
001431,Safe,A white classic car slows down and stops safely as pedestrians enter the crosswalk.
001432,Crash,"A silver SUV is violently T-boned by a black SUV, causing it to flip multiple times and scatter debris across the highway, narrowly missing the dashcam car."
001432,Near-Crash,"A black SUV runs a stop sign and nearly T-bones a silver SUV, which swerves and brakes hard to avoid a collision, forcing the dashcam car to brake suddenly."
001432,Safe,The dashcam car maintains a safe following distance on a rural highway as a silver SUV signals and safely makes a turn ahead.
001433,Crash,"A silver SUV loses control on a snowy road and spins out directly into the path of the overtaking dashcam car, causing a violent collision."
001433,Near-Crash,"A silver SUV fishtails slightly on a snowy road as it's being overtaken, but the driver corrects and narrowly avoids a collision with the passing car."
001433,Safe,"A silver SUV drives cautiously on a snowy road, maintaining a steady path in its lane as another car passes."
001434,Crash,"A black SUV, driving recklessly on the wrong side of a narrow snowy street, collides head-on with the dashcam car."
001434,Near-Crash,"A black SUV driving on the wrong side of a narrow, snowy street forces the dashcam car to swerve into a snowbank to narrowly avoid a head-on collision."
001434,Safe,"A black SUV waits for the dashcam car to pass on a narrow, snowy street before proceeding."
001435,Crash,A red car is violently T-boned by a white SUV that runs a red light at a city intersection.
001435,Near-Crash,"A white SUV runs a red light but brakes hard, skidding to a stop just inches from T-boning a red car turning in the intersection."
001435,Safe,"A red car and a white SUV both safely stop at a city intersection, waiting for the light to change."
001436,Crash,"A white delivery van makes an illegal U-turn directly into the path of the dashcam car, causing a violent T-bone collision."
001436,Near-Crash,"A white delivery van makes a sudden U-turn without signaling, forcing the dashcam car to slam on its brakes and swerve to narrowly avoid a T-bone collision."
001436,Safe,A white delivery van signals and waits for a safe gap in traffic before executing a legal U-turn.
001437,Crash,The dashcam car fails to notice a stopped yellow bus in traffic and slams into the back of it at high speed.
001437,Near-Crash,"A yellow bus brakes suddenly on the highway, forcing the dashcam car to swerve onto the shoulder to narrowly avoid a rear-end collision."
001437,Safe,The dashcam car slows down and stops a safe distance behind a yellow bus that has stopped in traffic on the highway.
001438,Crash,A black car speeds through an intersection and violently T-bones a white sedan that is making a turn.
001438,Near-Crash,"A black car nearly collides with a white sedan at an intersection after misjudging the timing of the turn, braking hard to avoid a T-bone crash."
001438,Safe,"A black car stops at an intersection, yielding the right-of-way to a white sedan making a turn."
001439,Crash,A red car is violently sideswiped by a blue hatchback that hydroplanes off the wet shoulder and spins directly into its path.
001439,Near-Crash,A red car swerves sharply to avoid a blue hatchback that loses control on the wet shoulder and nearly spins out into the travel lane.
001439,Safe,A red car maintains its lane and a safe speed on a wet highway as other cars navigate the rainy conditions.
001440,Crash,A small black car pulls out from behind a truck in dense fog and is immediately T-boned by a white van it didn't see coming.
001440,Near-Crash,"A small black car pulls into the oncoming lane to pass a truck in dense fog, then swerves back violently to narrowly avoid a head-on collision with a white van that appears suddenly."
001440,Safe,"A small black car waits patiently behind a large truck in foggy conditions, waiting for a clear and safe moment to pass."
001441,Crash,"A dark car pulls out from a gas station without looking and is T-boned by the dashcam car, which is unable to stop in time on the snowy road."
001441,Near-Crash,"A dark car pulls out suddenly from a gas station onto the snowy road, forcing the dashcam car to brake hard and swerve to narrowly avoid a collision."
001441,Safe,"The dashcam car drives at a reduced speed on a snowy road, cautiously passing a gas station on the right."
001442,Crash,"A white van makes an illegal U-turn directly into the path of the dashcam car, resulting in a violent T-bone collision."
001442,Near-Crash,"A white van makes a sudden U-turn, forcing the dashcam car to slam on its brakes and skid to a stop just inches from a T-bone collision."
001442,Safe,A white van signals and waits for traffic to clear before safely completing a U-turn on the city street.
001443,Crash,A black car speeds through an intersection and violently T-bones a white sedan that is making a turn.
001443,Near-Crash,"A black car nearly collides with a white sedan at an intersection after misjudging the timing of the turn, braking hard to avoid a T-bone crash."
001443,Safe,"A black car stops at an intersection, yielding the right-of-way to a white sedan making a turn."
001444,Crash,"A white hatchback pulls out from a snowy parking lot directly into the path of the dashcam car, causing a T-bone collision."
001444,Near-Crash,"A white hatchback, guided by a person, pulls out too quickly from a snowy lot, forcing the dashcam car to brake hard to narrowly avoid a collision."
001444,Safe,"A white hatchback waits for a clear opening in traffic, guided by a person on foot, before safely pulling out of a snowy parking lot."
001445,Crash,"A blue sedan loses control on a snowy street, sliding sideways directly into the path of the dashcam car for a head-on collision."
001445,Near-Crash,"A blue sedan begins to fishtail on the snowy road, but the driver regains control, narrowly avoiding a spinout as the dashcam car slows down."
001445,Safe,"The dashcam car follows a blue sedan at a safe distance on a snowy road, allowing ample time to react to changing conditions."
001446,Crash,A silver car runs a stop sign and is violently T-boned by a silver station wagon that has the right-of-way.
001446,Near-Crash,"A silver sedan runs a stop sign, forcing a silver station wagon to brake hard to narrowly avoid a T-bone collision in the intersection."
001446,Safe,"A silver station wagon and a silver sedan both stop at the intersection, waiting for the proper right-of-way before proceeding."
001447,Crash,"A silver sedan loses control on a snowy highway, spinning sideways directly into the path of a large truck it was overtaking, resulting in a violent collision."
001447,Near-Crash,"A silver sedan fishtails on a snowy highway while passing a large truck but regains control, narrowly avoiding a collision."
001447,Safe,"A silver sedan drives cautiously on a snowy highway, maintaining a safe distance from a large truck."
001448,Crash,"A black car loses control on a wet road, spinning across multiple lanes of traffic and narrowly missing several other vehicles."
001448,Near-Crash,"A dark car hydroplanes on a wet road and nearly spins out, but the driver corrects and narrowly avoids hitting the guardrail."
001448,Safe,"A dark car drives at a safe speed on a wet road, maintaining its lane position."
001449,Crash,"A silver hatchback pulls out to overtake a bus on a narrow street and is violently T-boned by an oncoming car, narrowly missing the dashcam vehicle."
001449,Near-Crash,"A silver hatchback pulls out to overtake a bus, forcing an oncoming car to brake hard and swerve to narrowly avoid a head-on collision."
001449,Safe,A silver hatchback waits for oncoming traffic to clear before safely pulling out to overtake a stopped bus.
001450,Crash,"A green tractor attempts a risky overtake on a narrow road, clips the back of a semi-truck, and crashes violently into a ditch."
001450,Near-Crash,"A green tractor attempts to overtake a semi-truck but pulls back in abruptly to avoid an oncoming car, nearly clipping the back of the truck."
001450,Safe,"A green tractor follows a semi-truck at a safe distance on a narrow road, waiting for a straight, clear section to pass."
001451,Crash,"A white SUV loses control on a snowy road, sliding sideways into the oncoming lane and causing a violent head-on collision with a large truck."
001451,Near-Crash,"A white SUV begins to slide on a patch of ice but corrects its steering, narrowly avoiding the oncoming lane."
001451,Safe,"A white SUV drives cautiously on a snowy highway, maintaining a safe distance and speed."
001452,Crash,"A white van runs a red light and is violently T-boned by a dark SUV, with the dashcam car slamming on its brakes to avoid the sudden collision."
001452,Near-Crash,"A white van runs a red light but slams on the brakes, skidding to a stop just inches from being T-boned by a dark SUV."
001452,Safe,"A white van stops smoothly at a red light, waiting for the signal to turn green before proceeding."
001453,Crash,A silver car stops for a pedestrian and is violently rear-ended by a gray hatchback that fails to stop in time.
001453,Near-Crash,"A silver car brakes hard to avoid hitting a pedestrian, and the car behind it swerves sharply to narrowly avoid a rear-end collision."
001453,Safe,A silver car comes to a gentle stop at a crosswalk to allow a pedestrian to cross safely.
001454,Crash,"A silver hatchback runs a red light at a busy intersection, narrowly dodging a bus before being T-boned by the dashcam car."
001454,Near-Crash,"A silver hatchback runs a red light but accelerates quickly, narrowly avoiding being T-boned by a bus and the dashcam car."
001454,Safe,A silver hatchback slows down and stops safely at a red light at a busy intersection.
001455,Crash,"A vintage black car loses control on the snow, sliding directly into the front of the dashcam vehicle with significant impact."
001455,Near-Crash,"A vintage black car loses traction on the icy road and skids sideways, narrowly avoiding a head-on collision with the stationary dashcam vehicle."
001455,Safe,"A vintage black car drives cautiously on a snowy road, maintaining control while navigating past a stopped car and truck."
001456,Crash,A gold sedan blasts through a red light and smashes into the side of the dashcam car as it legally makes a left turn.
001456,Near-Crash,"As the dashcam car begins its left turn on a green arrow, a gold sedan runs its red light, speeding through the intersection and narrowly missing a collision."
001456,Safe,"The dashcam car approaches a green light, slows down to ensure the intersection is clear, and proceeds to make a safe left turn."
001457,Crash,A white car runs the red light and violently T-bones the silver sedan in the middle of the intersection.
001457,Near-Crash,"A white car suddenly appears, speeding through the intersection and forcing the silver sedan to brake hard to avoid a T-bone collision."
001457,Safe,"A silver sedan cautiously proceeds through an intersection at dusk, maintaining a steady speed and checking for cross-traffic."
001458,Crash,"A pedestrian unexpectedly darts out from behind a parked van directly into the path of the motorcycle, resulting in a sudden and unavoidable collision."
001458,Near-Crash,"A person suddenly runs into the street from the sidewalk, forcing the motorcycle to brake hard and swerve to narrowly avoid hitting them."
001458,Safe,"A motorcycle proceeds cautiously down a narrow city street, maintaining a slow speed and staying aware of pedestrians and parked vehicles."
001459,Crash,"A dark SUV pulls out from a side road without yielding, causing the dashcam car to T-bone it at full speed in a violent crash."
001459,Near-Crash,"A dark SUV pulls out aggressively from a side road directly into the path of the dashcam car, forcing it to swerve onto the shoulder to avoid a high-speed collision."
001459,Safe,A dark SUV waits for a safe gap in traffic before carefully pulling out from a side road onto a curving main road.
001460,Crash,"A dark gray van loses control while changing lanes, sharply cutting off and colliding with the car behind it, causing a multi-car pileup."
001460,Near-Crash,"A dark gray van swerves abruptly into the dashcam car's lane without signaling, forcing the driver to brake hard to avoid being sideswiped."
001460,Safe,"A dark gray van drives steadily in the center lane of a highway, maintaining a safe and consistent distance from the cars around it."
001461,Crash,"A large truck loses control while overtaking, jackknifing and swerving into the dark SUV, sending both vehicles careening off the road."
001461,Near-Crash,"A large truck merges aggressively into the lane right in front of the dark SUV, forcing the SUV to brake suddenly on the slick road."
001461,Safe,A dark SUV drives at a steady pace in its lane on a winter highway as a large truck safely overtakes it on the right.
001462,Crash,"A dark sedan attempts to cut in front of the dashcam car, loses control on the snow, and spins out, causing a collision with the dashcam car and the truck next to it."
001462,Near-Crash,"A dark sedan aggressively cuts in front of the dashcam car on the icy road, losing traction for a moment before speeding off."
001462,Safe,"A dark sedan signals and smoothly merges into the lane in front of the dashcam car on a winter road, maintaining a safe following distance."
001463,Crash,"A white pickup truck, blinded by the sun, fails to notice the stopped traffic ahead and slams into the back of the car in front of it."
001463,Near-Crash,"A white pickup truck brakes hard at the last second, narrowly avoiding a rear-end collision as traffic comes to a sudden stop in the bright sun."
001463,Safe,"A white pickup truck maintains a safe following distance in heavy traffic, slowing down gradually as the cars ahead brake, despite heavy sun glare."
001464,Crash,"A silver car loses control completely on the icy highway, spinning multiple times before crashing into the snow-filled ditch."
